model_id,org_id,A,C,O,REL10,R50,n_valid_source
juhwanlee/gemma-7B-alpaca-case-3-2,juhwanlee,0.33247863247863246,0.3633207060329475,0.030842073554315064,0.011751040206292068,0.6376068376068376,1170
juhwanlee/gemma-7B-alpaca-case-3-3,juhwanlee,0.24871794871794872,0.534557677212139,0.28583972849419026,0.12332199446721667,0.7675213675213676,1170
juhwanlee/llmdo-Mistral-7B-case-1,juhwanlee,0.6213675213675214,0.3287909014234009,-0.2925766199441205,0.091793004501987,0.27008547008547007,1170
juhwanlee/llmdo-Mistral-7B-case-5,juhwanlee,0.6222222222222222,0.3294492337517806,-0.29277298847044164,0.0910034283655516,0.27521367521367524,1170
juhwanlee/llmdo-Mistral-7B-case-6,juhwanlee,0.6170940170940171,0.328464730207926,-0.28862928688609113,0.08908549828539938,0.27521367521367524,1170
juhwanlee/llmdo-Mistral-7B-case-7,juhwanlee,0.6196581196581197,0.32730783170788935,-0.2923502879502303,0.09096303817458604,0.27521367521367524,1170
juhwanlee/llmdo-Mistral-7B-case-c,juhwanlee,0.6094017094017095,0.325300701609002,-0.28410100779270747,0.08602250824712751,0.28205128205128205,1170
juhwanlee/llmdo-Mistral-7B-case-c-v1,juhwanlee,0.6205128205128205,0.3285880086877733,-0.2919248118250472,0.09039806312962534,0.27008547008547007,1170
jukofyork/Dark-Miqu-70B,jukofyork,0.7196581196581197,0.3480091882448621,-0.37164893141325755,0.1449250984120686,0.17777777777777778,1170
jukofyork/Dawn-Miqu-70B,jukofyork,0.7068376068376069,0.34408318399030313,-0.36275442284730375,0.13744003688000042,0.19316239316239317,1170
jukofyork/Dusk-Miqu-70B,jukofyork,0.7256410256410256,0.3480521069871803,-0.3775889186538453,0.14865402250148596,0.17777777777777778,1170
jukofyork/Eurus-70b-nca-fixed,jukofyork,0.5564102564102564,0.32388313700179244,-0.232527119408464,0.05871359501376882,0.3487179487179487,1170
jukofyork/Eurus-70b-sft-fixed,jukofyork,0.5521367521367522,0.3232671214471615,-0.22886963068959065,0.05589732605947966,0.3606837606837607,1170
julianweng/Llama-2-7b-chat-orcah,julianweng,0.45384615384615384,0.30889312050120415,-0.1449530333449497,0.02266224625471841,0.5025641025641026,1170
julleong/illuni-llama-2-ko-7b-test,julleong,0.43504273504273505,0.3366637593127627,-0.09837897572997234,0.014064300735264264,0.5145299145299145,1170
junelee/wizard-vicuna-13b,junelee,0.5469283276450512,0.33003350147851,-0.21689482616654115,0.05200558735081186,0.35494880546075086,1172
jxhong/CAlign-alpaca-7b,jxhong,0.5094017094017094,0.31935947936144443,-0.19004223004026494,0.03865479304371036,0.4341880341880342,1170
jylee420/gemma-2b-data-std,jylee420,0.37606837606837606,0.43189612600759975,0.05582774993922368,0.03419109256854243,0.6205128205128205,1170
jzjiao/opt-1.3b-rlhf,jzjiao,0.28924914675767915,0.30300160721374203,0.013752460456062876,0.002609260396552032,0.6877133105802048,1172
kaist-ai/mistral-orpo-alpha,kaist-ai,0.6042735042735042,0.326383750185989,-0.27788975408751526,0.08127471817910757,0.30427350427350425,1170
kaist-ai/mistral-orpo-beta,kaist-ai,0.611965811965812,0.3197006555188163,-0.2922651564469957,0.0903479790407349,0.27521367521367524,1170
kaist-ai/mistral-orpo-capybara-7k,kaist-ai,0.635042735042735,0.33528453342717734,-0.29975820161555766,0.09637240296409691,0.25982905982905985,1170
kaitchup/Maixtchup-4x7b,kaitchup,0.6247863247863248,0.35347823558433816,-0.2713080892019866,0.0813911508343815,0.26837606837606837,1170
kaitchup/Maixtchup-4x7b-QLoRA-SFT-UltraChat,kaitchup,0.6085470085470085,0.3362401802386194,-0.2723068283083891,0.08065472508566313,0.28547008547008546,1170
kaitchup/Mayonnaise-4in1-01,kaitchup,0.7341880341880341,0.40450220276166754,-0.3296858314263666,0.11783778573741072,0.1658119658119658,1170
kaitchup/Mayonnaise-4in1-02,kaitchup,0.7333333333333333,0.40667645981952805,-0.32665687351380523,0.11621695462023397,0.1658119658119658,1170
kaitchup/Mayonnaise-4in1-022,kaitchup,0.7282051282051282,0.40002642131579086,-0.3281787068893373,0.11697937193497314,0.1811965811965812,1170
kaitchup/Mayonnaise-4in1-03,kaitchup,0.729059829059829,0.4019607513480911,-0.3270990777117379,0.11668915983891073,0.16923076923076924,1170
kaitchup/TheMayonnaise,kaitchup,0.7341880341880341,0.41032035330044253,-0.3238676808875916,0.11421667779365663,0.1641025641025641,1170
kajdun/iubaris-13b-v3,kajdun,0.5914529914529915,0.34014870629366806,-0.2513042851593234,0.0675807087509237,0.3128205128205128,1170
kalisai/Nusantara-0.8b-Indo-Chat,kalisai,0.30427350427350425,0.3075245186764605,0.003251014402956276,0.004109995059110816,0.6871794871794872,1170
kalisai/Nusantara-1.8b-Indo-Chat,kalisai,0.352991452991453,0.30851651792389895,-0.04447493506755407,0.005838049796809374,0.6102564102564103,1170
kalisai/Nusantara-2.7b-Indo-Chat,kalisai,0.3418803418803419,0.313082859201789,-0.028797482678552866,0.005037014831435857,0.6239316239316239,1170
kalisai/Nusantara-4b-Indo-Chat,kalisai,0.45384615384615384,0.30834421403640727,-0.14550193980974657,0.02284238202530681,0.5128205128205128,1170
kalisai/Nusantara-7b-Indo-Chat,kalisai,0.48547008547008547,0.3185076317352534,-0.16696245373483204,0.03107843041349381,0.42905982905982903,1170
karakuri-ai/karakuri-lm-70b-chat-v0.1,karakuri-ai,0.6145299145299146,0.3294618845065951,-0.2850680300233195,0.08666635697440475,0.3111111111111111,1170
karimbkh/mistral-7b-cogeo,karimbkh,0.611965811965812,0.35477335734809745,-0.25719245461771456,0.074346147462027,0.27350427350427353,1170
kashif/stack-llama-2,kashif,0.5307692307692308,0.3112265179521176,-0.21954271281711318,0.0509691281144569,0.39145299145299145,1170
kekmodel/StopCarbon-10.7B-v1,kekmodel,0.7085470085470086,0.3907222841957595,-0.3178247243512491,0.11284291393980511,0.18803418803418803,1170
kekmodel/StopCarbon-10.7B-v2,kekmodel,0.7102564102564103,0.39194639713743484,-0.31831001311897544,0.11273335821300444,0.18974358974358974,1170
kekmodel/StopCarbon-10.7B-v3,kekmodel,0.7094017094017094,0.39173792980715166,-0.31766377959455777,0.11276274762091282,0.18803418803418803,1170
kekmodel/StopCarbon-10.7B-v4,kekmodel,0.711965811965812,0.39235464634670486,-0.31961116561910713,0.1141618434894161,0.18803418803418803,1170
kekmodel/StopCarbon-10.7B-v5,kekmodel,0.7094017094017094,0.39147487328670993,-0.3179268361149995,0.11342599816923059,0.18974358974358974,1170
kekmodel/StopCarbon-10.7B-v6,kekmodel,0.7111111111111111,0.39314662397935624,-0.3179644871317549,0.11370294632383063,0.18803418803418803,1170
kenhktsui/nano-phi-115M-v0.1,kenhktsui,0.21965811965811965,0.3109607175583451,0.09130259790022544,0.015099687715737503,0.8,1170
kevin009/Llamafia,kevin009,0.6606837606837607,0.34178181370720045,-0.3189019469765602,0.11019151540652736,0.2341880341880342,1170
kevin009/TinyNaughtyLlama-v1.0,kevin009,0.358974358974359,0.3103008172624713,-0.0486735417118877,0.008183201425948791,0.6239316239316239,1170
kevin009/babyllama-v0.6,kevin009,0.3606837606837607,0.3091908072643705,-0.0514929534193902,0.008439101724982611,0.611965811965812,1170
kevin009/flyingllama,kevin009,0.24786324786324787,0.3022163550486531,0.0543531071854052,0.0070727783738637195,0.7572649572649572,1170
